version,aim_sigma_sum,contact,fair,familiar,pitch,quality_sum,rating,swings,timing_miss,trials,x
before,29.8608236643635,6,4,fresh,pitch.overhand_slider,1.31071194102899,5,12,0,96,0.85
before,23.7426808401327,7,6,repeat,pitch.overhand_slider,2.45709643177217,5,11,0,96,0.85
before,29.2921857043637,7,4,mixed,pitch.overhand_slider,1.48328456978618,5,12,0,96,0.85
before,27.8666291147563,8,7,fresh,pitch.overhand_slider,2.45210419042249,8,12,0,96,0.85
before,19.6985305409513,11,10,repeat,pitch.overhand_slider,4.41548314283539,8,11,0,96,0.85
before,27.2492435617575,8,8,mixed,pitch.overhand_slider,2.59510592166391,8,12,0,96,0.85
before,30.7142989698716,5,4,fresh,pitch.sidearm_slider,1.11563847921972,3,12,0,96,-0.85
before,26.5628506997087,6,5,repeat,pitch.sidearm_slider,2.07171960076017,3,11,0,96,-0.85
before,30.5586304451015,6,4,mixed,pitch.sidearm_slider,1.1557479585335,3,11,0,96,-0.85
before,29.98319407821,7,4,fresh,pitch.sidearm_slider,1.67092809492574,5,11,0,96,-0.85
before,24.2180772422432,9,6,repeat,pitch.sidearm_slider,2.97404068124468,5,11,0,96,-0.85
before,29.4177308861813,7,5,mixed,pitch.sidearm_slider,1.85173823427626,5,11,0,96,-0.85
before,27.9928772033549,7,7,fresh,pitch.sidearm_slider,2.74000891115136,8,11,0,96,-0.85
before,20.1863665898742,11,11,repeat,pitch.sidearm_slider,5.12075696389164,8,11,0,96,-0.85
before,27.4098902873628,7,7,mixed,pitch.sidearm_slider,2.89253691538721,8,11,0,96,-0.85
before,27.197731601453,24,18,fresh,pitch.sidearm_slider,7.99824281552596,3,58,0,96,-0.35
before,19.2350646068296,39,30,repeat,pitch.sidearm_slider,14.3519423555678,3,61,0,96,-0.35
before,26.125881454081,28,21,mixed,pitch.sidearm_slider,9.18088637751392,3,59,0,96,-0.35
before,24.5207984466069,40,29,fresh,pitch.sidearm_slider,12.2772349606254,5,58,0,96,-0.35
before,16.5674170953671,49,42,repeat,pitch.sidearm_slider,20.9694878117998,5,61,0,96,-0.35
before,23.434573789704,43,32,mixed,pitch.sidearm_slider,13.9490284724495,5,59,0,96,-0.35
before,20.48299271789,49,47,fresh,pitch.sidearm_slider,21.3514804911472,8,58,0,96,-0.35
before,12.5698950190661,60,56,repeat,pitch.sidearm_slider,31.9825731164301,8,60,0,96,-0.35
before,19.3950574002045,51,48,mixed,pitch.sidearm_slider,23.2132026002276,8,59,0,96,-0.35
before,25.1127809015019,42,32,fresh,pitch.sidearm_slider,14.975078438054,3,86,0,96,0.0
before,17.6125365128028,60,51,repeat,pitch.sidearm_slider,24.7145161461233,3,94,0,96,0.0
before,23.9492356960155,48,36,mixed,pitch.sidearm_slider,16.2179561101146,3,86,0,96,0.0
before,22.4172733556572,67,49,fresh,pitch.sidearm_slider,22.5412176086865,5,86,0,96,0.0
before,15.0143769453108,83,70,repeat,pitch.sidearm_slider,35.224027732196,5,94,0,96,0.0
before,21.2745972782085,64,50,mixed,pitch.sidearm_slider,23.378079533879,5,86,0,96,0.0
before,18.3755582595166,80,73,fresh,pitch.sidearm_slider,35.700564386564,8,86,0,96,0.0
before,10.9827402959814,93,89,repeat,pitch.sidearm_slider,52.4006058885358,8,94,0,96,0.0
before,17.2334603612728,81,77,mixed,pitch.sidearm_slider,37.822551441457,8,86,0,96,0.0
before,27.197731601453,27,20,fresh,pitch.sidearm_slider,8.25529991705216,3,58,0,96,0.35
before,19.2350646068296,37,28,repeat,pitch.sidearm_slider,13.9565050298494,3,61,0,96,0.35
before,26.107481454081,30,22,mixed,pitch.sidearm_slider,9.23944198375546,3,59,0,96,0.35
before,24.5207984466069,36,29,fresh,pitch.sidearm_slider,12.7406973998561,5,58,0,96,0.35
before,16.5674170953671,52,42,repeat,pitch.sidearm_slider,20.6242945145029,5,61,0,96,0.35
before,23.416173789704,40,32,mixed,pitch.sidearm_slider,14.0705042646148,5,59,0,96,0.35
before,20.48299271789,50,47,fresh,pitch.sidearm_slider,21.3119187875617,8,58,0,96,0.35
before,12.5698950190661,59,57,repeat,pitch.sidearm_slider,32.1967145116415,8,60,0,96,0.35
before,19.3766574002045,53,49,mixed,pitch.sidearm_slider,22.9196391459135,8,59,0,96,0.35
before,30.7142989698716,4,3,fresh,pitch.sidearm_slider,0.840718144103678,3,12,0,96,0.85
before,26.5628506997087,6,5,repeat,pitch.sidearm_slider,1.72291216415164,3,11,0,96,0.85
before,30.5586304451015,4,3,mixed,pitch.sidearm_slider,0.930832044231661,3,11,0,96,0.85
before,29.98319407821,5,4,fresh,pitch.sidearm_slider,1.28023895616281,5,11,0,96,0.85
before,24.2180772422432,8,6,repeat,pitch.sidearm_slider,2.4191440560388,5,11,0,96,0.85
before,29.4177308861813,6,4,mixed,pitch.sidearm_slider,1.38165057356729,5,11,0,96,0.85
before,27.9928772033549,7,7,fresh,pitch.sidearm_slider,2.30285074417093,8,11,0,96,0.85
before,20.1863665898742,11,10,repeat,pitch.sidearm_slider,4.53155821798481,8,11,0,96,0.85
before,27.4098902873628,7,7,mixed,pitch.sidearm_slider,2.44428488973236,8,11,0,96,0.85
before,30.72,6,6,fresh,pitch.eephus,1.82600757870534,3,13,0,96,-0.85
before,28.2071867525101,5,5,repeat,pitch.eephus,1.93590280305505,3,11,0,96,-0.85
before,30.72,5,5,mixed,pitch.eephus,1.59920538540927,3,12,0,96,-0.85
before,30.72,8,6,fresh,pitch.eephus,2.25494674351303,5,13,0,96,-0.85
before,25.5190331203461,7,6,repeat,pitch.eephus,2.66319581983675,5,11,0,96,-0.85
before,30.7097898434162,7,5,mixed,pitch.eephus,1.9011074011452,5,12,0,96,-0.85
before,30.3187909805775,11,8,fresh,pitch.eephus,2.96370756047427,8,13,0,96,-0.85
before,21.4862390088558,10,9,repeat,pitch.eephus,3.78605235377094,8,10,0,96,-0.85
before,27.8881510347366,10,9,mixed,pitch.eephus,3.22536608876916,8,12,0,96,-0.85
before,27.0053405340866,39,23,fresh,pitch.eephus,11.3001178151027,3,80,0,96,-0.35
before,17.9521372584051,71,44,repeat,pitch.eephus,23.5772621054709,3,91,0,96,-0.35
